DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Mar1992,-0.38201,-0.59571,-0.71315,-0.65002,-0.34036,-0.49421,-0.05475,-0.48895,-0.57204,-0.7479,-0.83059,-0.70229,-0.50517,-0.17076,-0.29659,-0.33473,-0.40113,-0.19863,-0.0724,-0.16023,-0.25278,-0.12249,0.00981,-0.07103,-0.23096,-0.47986,-0.52762,-0.58666,-0.29615,-0.56094,-0.55792,-0.59928,-0.6319,-0.70679,-0.78316,-0.67945,-0.69296,-0.58295,-0.64775,-0.75741,-0.76608,-0.62688,-0.80756,-0.89903,-0.89409,-0.51957,-0.52967,-0.13364
Apr1992,-1.08981,-1.07912,-1.06251,-1.09664,-0.99652,-0.73582,-0.81815,-0.43575,-0.81939,-0.8929,-1.00372,-1.03573,-0.93696,-0.75975,-0.43931,-0.54976,-0.56905,-0.62055,-0.42946,-0.27852,-0.35534,-0.43711,-0.30724,-0.17743,-0.24973,-0.40005,-0.64061,-0.68552,-0.73878,-0.4494,-0.71837,-0.71461,-0.74802,-0.77684,-0.84244,-0.91721,-0.8166,-0.83268,-0.72118,-0.78148,-0.88983,-0.88924,-0.75172,-0.92589,-1.00976,-1.00485,-0.62876,-0.63568
May1992,0.64327,-0.17084,-0.34441,-0.5094,-0.59719,-0.59471,-0.38597,-0.4948,-0.23322,-0.59519,-0.65645,-0.7971,-0.86507,-0.78586,-0.59687,-0.30571,-0.42135,-0.43587,-0.48865,-0.30476,-0.16759,-0.24309,-0.33005,-0.20631,-0.07413,-0.12327,-0.2757,-0.51334,-0.56446,-0.62636,-0.34742,-0.614,-0.60919,-0.64123,-0.6714,-0.73867,-0.81036,-0.70524,-0.71532,-0.6071,-0.67056,-0.78754,-0.79336,-0.65941,-0.83673,-0.92664,-0.9213,-0.55304
Jun1992,1.84412,1.61816,1.22879,0.94223,0.77433,0.67643,0.54953,0.69073,0.66639,0.81511,0.42406,0.32743,0.11561,-0.02903,0.04099,0.19122,0.4585,0.32421,0.26193,0.18589,0.37974,0.47705,0.37514,0.26844,0.35327,0.45062,0.41586,0.2624,0.0456,-0.01171,-0.09509,0.1407,-0.09545,-0.10144,-0.15215,-0.1963,-0.28647,-0.36048,-0.25386,-0.25975,-0.16154,-0.23034,-0.33917,-0.3585,-0.22751,-0.40301,-0.50895,-0.51356
Jul1992,-0.31666,1.58622,1.46428,1.08069,0.79772,0.64376,0.54407,0.4336,0.57644,0.55042,0.69496,0.34027,0.25664,0.0587,-0.07834,-0.00413,0.13524,0.38602,0.26574,0.20796,0.13349,0.31932,0.4124,0.31546,0.21563,0.29579,0.39272,0.35781,0.21565,0.00737,-0.05112,-0.12486,0.10261,-0.12489,-0.13302,-0.18199,-0.22181,-0.306,-0.37628,-0.27286,-0.27624,-0.18188,-0.2462,-0.3523,-0.37,-0.24453,-0.41421,-0.51681
Aug1992,0.39991,0.00712,1.49265,1.40025,1.02225,0.77034,0.63462,0.55818,0.4504,0.58425,0.55667,0.6878,0.34836,0.2661,0.08308,-0.04165,0.03514,0.17459,0.40591,0.29051,0.24198,0.16826,0.337,0.43336,0.34007,0.24145,0.31914,0.41119,0.37259,0.23602,0.03421,-0.02309,-0.08845,0.1277,-0.08604,-0.09479,-0.14596,-0.18631,-0.26443,-0.33636,-0.23349,-0.23838,-0.14879,-0.2107,-0.31622,-0.33322,-0.21366,-0.37429
Sep1992,0.34232,0.38489,0.21294,1.29988,1.28426,0.97698,0.786,0.66598,0.59749,0.49361,0.61193,0.58701,0.70613,0.3978,0.32763,0.15767,0.03238,0.09674,0.22872,0.44719,0.33526,0.29044,0.22106,0.38418,0.47952,0.38723,0.2918,0.36035,0.43881,0.40093,0.26501,0.06888,0.01101,-0.05125,0.15133,-0.04967,-0.05463,-0.10286,-0.14178,-0.21701,-0.28611,-0.1871,-0.19461,-0.10664,-0.16704,-0.27102,-0.28963,-0.17425
Oct1992,1.25599,0.97528,1.00184,0.85987,1.55387,1.53804,1.28693,1.10098,1.00081,0.91956,0.78403,0.89828,0.90049,1.00232,0.72422,0.63812,0.47184,0.35714,0.41852,0.51215,0.70378,0.59199,0.53211,0.46363,0.61576,0.68698,0.60337,0.51462,0.56892,0.63345,0.59917,0.46649,0.28752,0.23247,0.15264,0.33793,0.15662,0.14477,0.08825,0.04457,-0.03443,-0.10012,-0.0079,-0.01909,0.06602,0.00465,-0.09803,-0.11611
Nov1992,-1.72769,0.36526,0.40114,0.43317,0.32978,1.23433,1.24176,0.97474,0.80783,0.69699,0.62117,0.51888,0.63954,0.61382,0.74153,0.45201,0.37779,0.20668,0.105,0.15752,0.27068,0.47171,0.35503,0.30538,0.24093,0.39797,0.4813,0.40002,0.31282,0.3862,0.46342,0.42961,0.299,0.11063,0.05328,-0.02962,0.16397,-0.02417,-0.0314,-0.08225,-0.11987,-0.19711,-0.26183,-0.1691,-0.17688,-0.09203,-0.15125,-0.25592
Dec1992,-0.01618,-1.49188,0.25406,0.30669,0.34075,0.24787,1.15547,1.18333,0.93083,0.77153,0.65951,0.58819,0.49081,0.61396,0.59499,0.7105,0.42375,0.34734,0.1663,0.064,0.12128,0.24153,0.4419,0.33123,0.28611,0.22306,0.37393,0.44285,0.36266,0.28301,0.35793,0.43235,0.39883,0.27532,0.08761,0.03385,-0.04704,0.14795,-0.04242,-0.04987,-0.09937,-0.13819,-0.21288,-0.27596,-0.18312,-0.19113,-0.10653,-0.16732
